,Brand Name,Price (AUD),Variety,Type,Region,State,Vintage,Size (mL),Alcohol Volume (%),Standard Drinks,Organic,Vegan Friendly,Wine Body,Wine Style,Closure,Langtons Classified
181,Fowles Wine,14.99,Cabernet Sauvignon,Red,Strathbogie Ranges,Victoria,2016.0,750.0,14.7,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
182,Wolf Blass,9.95,Shiraz,,,South Australia,2017.0,750.0,13.5,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
185,Mitchell,26.99,Cabernet Sauvignon,,Clare Valley,South Australia,2010.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
186,Mr Smith,44.99,Shiraz,Red,South Australia,South Australia,2013.0,750.0,13.4,7.9,Not specified,Not specified,Full Bodied,Shiraz,Cork,Not specified
187,Heathcote Winery,30.99,Shiraz,Red,Heathcote,Victoria,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
188,Hare's Chase,34.99,Shiraz,,Barossa Valley,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
189,Kaesler,26.99,Cabernet Sauvignon,Red,Barossa Valley,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Cork,Not specified
190,Gembrook Hill,54.99,Pinot Noir,Red,Yarra Valley,Victoria,2013.0,750.0,,,Not specified,Not specified,Light Bodied,Dry,Cork,Not specified
191,Kangarilla Road,27.99,Shiraz,Red,McLaren Vale,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Not specified,Not specified,Screw Cap,Not specified
192,Wow What A,6.0,Shiraz,Red,,,2015.0,750.0,,,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
194,O'Leary Walker,22.99,Shiraz,Red,Clare Valley,South Australia,2016.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
195,De Bortoli,10.99,Shiraz,Red,,,2017.0,750.0,14.0,8.3,Not specified,Not specified,Not specified,Dry,Screw Cap,Not specified
196,Jamiesons Run,10.9,Merlot,Red,Limestone Coast,South Australia,2018.0,750.0,14.0,8.3,Not specified,Not specified,Medium Bodied,Dry,Screw Cap,Not specified
197,Teusner,20.99,Cabernet Sauvignon,,Eden Valley,South Australia,2017.0,750.0,14.5,8.6,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
199,Murray Street Vineyards,24.99,Shiraz,Red,Barossa Valley,South Australia,2015.0,750.0,15.0,8.9,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
200,Baily & Baily,9.99,Cabernet Sauvignon,Red,Coonawarra,South Australia,2014.0,750.0,13.5,8.0,Not specified,Not specified,Full Bodied,Dry,Screw Cap,Not specified
