,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly,Organic
36,14.00%,Clonakilla,Screw Cap,Australia,2008,Shiraz Viognier 2008,$189.99 per bottle,Ranked 1 of 18 Shiraz from New South Wales,,,Canberra District,750mL,8.3,New South Wales,Shiraz Viognier,,Dry,,,Exceptional,,
37,13.00%,Dalwhinnie,Cork,Australia,1999,Moonambel Shiraz 1999,$94.99 per bottle,Ranked 7 of 28 Shiraz from Australia,,,Pyrenees,750mL,7.7,Victoria,Shiraz,Full Bodied,Dry,,,Excellent,,
38,14%,Richland,Screw Cap,Australia,2017*,Shiraz,$9.50 in any six,$57.00 per case of 6,$9.99 per bottle,"Awards: Silver Medals - Cowra Wine Show 2016, San Francisco International Wine Show 2016, AWC Vienna 2016",,750mL,8.3,,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
39,14.5%,Petaluma,Screw Cap,Australia,2013*,Coonawarra,$59.85 in any six,$359.10 per case of 6,$59.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.6,South Australia,Cabernet Blends,,Dry,,,Excellent,,
40,14,Gaucho,Screw Cap,Australia,2017*,Malbec,$7.00 in any six,$42.00 per case of 6,$7.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3,,Malbec,,Dry,,,,,
41,7.5,Flamingo,Screw Cap,Australia,,Flamingo Sparkling Moscato 200mL,$22.00 per pack of 4,$122.00 per case of 24,,,"Eden Valley, South Australia",200mL x 4,1.1,,Moscato,,,,,,,
42,14.0% (2013),M. Chapoutier,Screw Cap,Australia,2013*,Domaine Tournon Maxime Shiraz,$15.19 in any six,$91.14 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3 (2013),Victoria,Shiraz,Full Bodied,Dry,,,,,
43,13.00%,Wynns,Cork,Australia,,John Riddoch Cabernet Sauvignon 1998,$186.99 per bottle,,,,Coonawarra,750mL,7.7,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
44,14.5%,Gemtree,Screw Cap,Australia,2017*,Dragon's Blood Cabernet Sauvignon,$14.99 per bottle,$85.80 per case of 6,$14.30 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,,Cabernet Sauvignon,Full Bodied,Dry,,,,,
45,14.5%,Rutherglen Estates,Screw Cap,Australia,2015*,Durif,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Rutherglen,750mL,8.6,Victoria,Durif,,Dry,Ranked 18 of 20 Durif from Australia,,,,
46,,,,,,Unknown,,,,,,,,,,,,,,,,
47,13.5%,Forester Estate,Screw Cap,Australia,2016*,Cabernet Sauvignon,$24.95 in any six,$149.70 per case of 6,$24.95 per bottle,"Awards: Gold Medals - Royal Sydney Wine Show 2016, Australian Small Winemakers Show 2016, James Halliday Cabernet Challenge 2016, Royal Queensland Wine Show 2016, National Wine Show of Australia 2016, Margaret River Wine Show 2016, London International Wine Chall",Margaret River,750mL,8.0,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 19 of 26 Cabernet Sauvignon from Margaret River,,,
48,14.5%,Hardys,,Australia,2016*,HRB Shiraz,Member Offer$25.00 per bottle,$30.40 in any six,$182.40 per case of 6,$31.99 per bottle,,750mL,8.6,,Shiraz,Full Bodied,Dry,"Awards: Gold Medal - Adelaide Wine Show 2016, 2 Silver - Sydney Royal Wine Show 2016, Decanter World 2016.","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
49,13.5%,Taylors,Screw Cap,Australia,2017,Taylor Made Clare Valley Malbec 2017,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,6.8,South Australia,Malbec,,,,,,,
50,14.5%,d'Arenberg,Screw Cap,Australia,2015*,The Custodian Grenache,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Grenache,Medium Bodied,Dry,Ranked 27 of 38 Grenache from McLaren Vale,,,,
51,14.0%,Goldman Wines,Screw Cap,Australia,,Hunter Valley Shiraz 2014,$19.99 per bottle,$89.99 per case of 6,Awards: 92 Points Halliday Wine Companion,,Lower Hunter Valley,750mL,8.3,New South Wales,Shiraz,Medium Bodied,Dry,,,,,
52,14%,The Craft & Co,Screw Cap,Australia,,Tempranillo,$15.00 per bottle,$180.00 per case of 12,,,Port Phillip,750mL,7.6,Victoria,Tempranillo,,,,,,,
53,14.5%,Katnook Estate,Screw Cap,Australia,2012*,Prodigy Shiraz,$85.49 in any six,$512.94 per case of 6,$89.99 per bottle,Awards: Gold Medal – International Wine & Spirit Competition 2016,Coonawarra,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 8 of 24 Shiraz from Coonawarra,Excellent,,
54,14.3,St Leonards Vineyard,Screw Cap,Australia,2015,Durif,$30.00 per bottle,$180.00 per case of 6,Awards: 91 points - Halliday Wine Companion,Ranked 9 of 20 Durif from Australia,Rutherglen,750mL,8.5,Victoria,Durif,Full Bodied,Durif,,,,true,
55,13.7%,Cosmo Wines,Screw Cap,Australia,,2013 Yarra Valley Reserve Shiraz,$50.00 per bottle,$180.00 per case of 6,"Awards: Bronze medal, Yarra Valley Wine Show 2014",,Yarra Valley,750mL,8.1,Victoria,Shiraz,Medium Bodied,Dry,,,,,
56,14%,The Mix Tape,,Australia,2015,Limestone Coast Shiraz,$10.00 in any six,$60.00 per case of 6,$10.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Limestone Coast,750mL,8.3,,Shiraz,,,,,,,
57,13.50%,Kooyong,Screw Cap,Australia,2015*,Ferrous Pinot Noir,$58.89 in any six,$353.34 per case of 6,$61.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Mornington Peninsula,750mL,8 (2012),Victoria,Pinot Noir,Light Bodied,Dry,Ranked 75 of 102 Pinot Noir from Mornington Peninsula,,,,
58,14%,McWilliam's,Screw Cap,Australia,2016*,McW Reserve 660 Canberra Syrah,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,Awards: Gold Medal - 2017 Sydney Royal Wine Show,,750mL,8.3,Australian Capital Territory,Syrah,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 21 Shiraz from Southern New South Wales,,,
