,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 4,Organic,Vegan Friendly,Price Option 5
36,13.50%,Brands,Screw Cap,Australia,2013,Laira 171 Cabernet Sauvignon 2013,Delivery Offer$68.90 per bottle,$71.30 in any six,$427.80 per case of 6,$75.00 per bottle,Coonawarra,,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
37,14.6,Molly's Cradle,Screw Cap,Australia,2017,Merlot 2017,Delivery Offer$79.00 per case of 6,$18.00 per bottle,$108.00 per case of 6,Dry Red,Hunter Valley,750mL,8.6,New South Wales,Merlot,Medium Bodied,Merlot,,,,,
38,14.0% (2016),Clonakilla,Screw Cap,Australia,2016*,Shiraz Viognier,$99.80 in any six,$598.80 per case of 6,$104.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Canberra District,750mL,8.3 (2016),New South Wales,Shiraz Viognier,,Dry,Exceptional,Ranked 2 of 89 Shiraz from Australia,,,
39,13.5% (2015),McGuigan,Screw Cap,Australia,2015*,Black Label Shiraz 187ml,$2.85 in any six,$68.40 per case of 24,$2.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,187mL,2 (2015),New South Wales,Shiraz,Full Bodied,Dry,,,,,
40,14%,Grant Burge,Screw Cap,Australia,2016*,Barossa Ink Cabernet Sauvignon,Member Offer$12.00 per bottle,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,Barossa,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
41,13%,Taylors,Screw Cap,Australia,2017*,Reserve Parcel Cabernet Sauvignon,$22.99 per bottle,$131.40 per case of 6,$21.90 in any six,"Awards: Double Gold - China Wine & Spirits Awards 2014. 3 Gold - Concours Mondial De Bruxelles 2015, World Wine Championships 2014, Wine Showcase Magazine 2014.",Clare Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
42,12.8%,Bone Dry Drinks,Screw Cap,Australia,,Rosé 2018,Member Offer$96.00 per case of 6,$20.00 per bottle,$120.00 per case of 6,,Mudgee,750mL,7.8,New South Wales,Rosé,Light Bodied,Dry,,,,,
43,13.80%,Secret Selection,Screw Cap,Australia,,South Australia Grenache 2017,Online Offer$19.90 per bottle,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,,750mL,8.2,South Australia,Grenache,Medium Bodied,,,,,,
44,13.5% (2014),Cleanskin,Screw Cap,Australia,2014*,Shiraz,$5.70 in any six,$34.20 per case of 6,$5.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0 (2014),,Shiraz,Full Bodied,Dry,,,,,
45,13.5%,Rosemount,Screw Cap,Australia,2017*,Diamond Label Cabernet Sauvignon,$9.45 in any six,$56.70 per case of 6,$9.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,,Cabernet Sauvignon,Full Bodied,Dry,,,,,
46,14.5%,Taylors,Screw Cap,Australia,2016*,St Andrews Shiraz,$54.90 in any six,$329.40 per case of 6,$57.80 per bottle,"Awards: Blue Gold - Sydney International Wine Competition 2014. Trophy - China Wine & Spirits Awards 2014. 8 Gold - Catavinum World Wine & Spirits Competition 2014, Vinandino Argentina 2013, International Wine Challenge 2013, New Zealand International Wine Show 2",Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
47,15.1%,Château Tanunda,Screw Cap,Australia,2016*,Matthews Road Shiraz,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,Awards: Barossa Wine of the Year - China Wine & Spirits Awards 2017,Eden Valley,750mL,11.3,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Ranked 83 of 120 Shiraz from Barossa
48,14.0%,Little Giant,Screw Cap,Australia,,McLaren Vale Grenache,$18.90 in any six,$113.40 per case of 6,$17.95 per bottle,,McLaren Vale,750mL,8.0,South Australia,Grenache,,,,,,,
49,14.0%,Moss Wood,Screw Cap,Australia,2015*,Cabernet Sauvignon,$119.70 in any six,"$1,436.40 per case of 12",$125.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Exceptional,Ranked 1 of 44 Cabernet Sauvignon from Margaret River,,,
50,13.5%,The Wanderer,Cork,Australia,2016*,Upper Yarra Pinot Noir,$52.30 in any six,$627.60 per case of 12,$54.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Yarra Valley,750mL,8,Victoria,Pinot Noir,Light Bodied,Dry,,,,,
51,14.5%,Kalleske,Screw Cap,Australia,2017*,Clarry's Grenache Shiraz Mataró,$19.99 per bottle,$113.94 per case of 6,$18.99 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Grenache Shiraz Mourvèdre,,Dry,,Ranked 8 of 20 Grenache from Barossa Valley,true,,
52,14.0% (2016),Lindeman's,Screw Cap,Australia,2016*,Gentleman's Collection Shiraz,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.3 (2016),,Shiraz,Full Bodied,Dry,,,,,
53,14.0%,Pepper Tree,Screw Cap,Australia,2015*,Cabernet Sauvignon,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Wrattonbully,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
54,13.5,Brookland Valley Estate,Screw Cap,Australia,2015,Verse 1 Shiraz,$6.88 in any six,$41.28 per case of 6,$6.88 per bottle,Awards: 2 Gold Medals - Margaret River Wine Show 2016 and Sydney Royal Wine Show 2016,Margaret River,750mL,8,Western Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
55,14.5%,d'Arenberg,Screw Cap,Australia,2015*,d'Arrys Original Shiraz Grenache,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz Grenache,Medium Bodied,Dry,,,,,
56,14.5%,Craftsman,Screw Cap,Australia,2016*,Reserve Shiraz,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
57,14.00%,Renmano,Cask Closure,Australia,Non Vintage,The Pressings Shiraz Cabernet Cask 4L,$57.20 per case of 4,$14.99 each,,,,4L,44,South Australia,Shiraz Cabernet,,Dry,,,,,
58,14.5,Craftsman,Screw Cap,Australia,2017*,Shiraz,$7.00 per bottle,$39.90 per case of 6,$6.65 in any six,Awards: TROPHY at the Clare Valley Wine Show 2017 for Best Shiraz.,Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
59,14.5% (2014),Langmeil,Screw Cap,Australia,2014*,Valley Floor Shiraz,$25.65 in any six,$153.90 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6 (2014),South Australia,Shiraz,Full Bodied,Dry,,,,,
60,13.9%,Jacob's Creek,Screw Cap,Australia,2017*,Classic Shiraz Cabernet,$5.95 in any six,$35.70 per case of 6,$5.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.2,,Shiraz Cabernet,Full Bodied,Dry,,,,,
