,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Style,Current Vintage,Langtons Classified,Wine Body,Price Option 1,Price Option 2,Price Option 3,Price Option 4
38,15.00%,Summerfield,Cork,Australia,Reserve Shiraz 2003,$28.49 in any six,Pyrenees,750mL,8.9,Victoria,Shiraz,Dry,,,Full Bodied,$338.29 per case of 12,$29.99 per bottle,,
39,14.50%,Saltram,Cork,Australia,No. 1 Shiraz 2001,$71.20 in any six,Barossa Valley,750mL,8.6,South Australia,Shiraz,Dry,,,Full Bodied,$422.95 per case of 6,$74.99 per bottle,,
40,13.5% (2009),Pirie,Screw Cap,Australia,Estate Pinot Noir,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8 (2009),Tasmania,Pinot Noir,Dry,2009*,,Light Bodied,,,,
41,13.5% (2009),Pirie,Screw Cap,Australia,Estate Pinot Noir,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8 (2009),Tasmania,Pinot Noir,Dry,2009*,,Light Bodied,,,,
42,14.00%,Elderton,Screw Cap,Australia,Cabernet Sauvignon 2004,$20.89 in any six,Barossa Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Dry,2004,,Full Bodied,$248.05 per case of 12,$21.99 per bottle,,
43,13.50%,Rockford,Cork,Australia,Black Sparkling Shiraz - Disgorged 1999,,Barossa Valley,750mL,8,South Australia,Shiraz,Dry,1999,Outstanding,,,,,
44,13.50%,Hollick,Cork,Australia,Cabernet Sauvignon 2004,$23.75 in any six,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Dry,2004,,Full Bodied,$281.89 per case of 12,$24.99 per bottle,,
45,13.50%,Hollick,Cork,Australia,Cabernet Sauvignon 2004,$23.75 in any six,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Dry,2004,,Full Bodied,$281.89 per case of 12,$24.99 per bottle,,
46,14.00%,Grant Burge,Cork,Australia,Miamba Shiraz 2004,$19.90 in any six,Barossa Valley,750mL,8.3,South Australia,Shiraz,Dry,2004,,Full Bodied,$225.49 per case of 12,$19.99 per bottle,,
47,14.00%,Grant Burge,Cork,Australia,Miamba Shiraz 2004,$19.90 in any six,Barossa Valley,750mL,8.3,South Australia,Shiraz,Dry,2004,,Full Bodied,$225.49 per case of 12,$19.99 per bottle,,
48,14.50%,Annie's Lane,Screw Cap,Australia,Shiraz 2005,$17.09 in any six,Clare Valley,750mL,8.6,South Australia,Shiraz,Dry,,,Full Bodied,$101.49 per case of 6,$17.99 per bottle,,
49,14.50%,Annie's Lane,Screw Cap,Australia,Shiraz 2005,$17.09 in any six,Clare Valley,750mL,8.6,South Australia,Shiraz,Dry,,,Full Bodied,$101.49 per case of 6,$17.99 per bottle,,
50,12.50%,Mount Pleasant,Cork,Australia,Rosehill Shiraz 1991,$59.99 per bottle,Hunter Valley,750mL,7.4,New South Wales,Shiraz,Dry,1991,,Full Bodied,Ranked 10 of 19 Shiraz from Australia,,,
51,13.3% (2004),Jeir Creek,Screw Cap,Australia,Pinot Noir,$20.90 in any six,Canberra District,750mL,7.9 (2004),New South Wales,Pinot Noir,Dry,2004*,,Light Bodied,$250.80 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
52,13.3% (2004),Jeir Creek,Screw Cap,Australia,Pinot Noir,$20.90 in any six,Canberra District,750mL,7.9 (2004),New South Wales,Pinot Noir,Dry,2004*,,Light Bodied,$250.80 per case of 12,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",
