,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Price Option 5,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Organic,Vegan Friendly
62,14.9%,George Wyndham,Screw Cap,Australia,2012,Langhorne Creek Shiraz 2012,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"Awards: Concours Mondial de Bruxelles, 2016: Gold 
Concours Mondial de Bruxelles, 2015: Gold 
International Wine & Spirit Competition, 2015: Silver 
International Wine Challenge, 2015: Silver 
Decanter World Wine Awards, 2014: Bronze",,,Langhorne Creek,750mL,8.9,South Australia,Shiraz,,,,,
63,14%,Riddoch,Screw Cap,Australia,2017*,Shiraz 187mL,$4.99 in any six,$90.00 per case of 24,$15.99 per pack of 4,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Coonawarra,184mL,2.1,South Australia,Shiraz,Full Bodied,Dry,,,
64,14.5,Franklin Tate Estates,Screw Cap,Australia,2015,Alexanders Vineyard Cabernet Sauvignon,$20.89 in any six,$119.70 per case of 6,$21.99 per bottle,Awards: Gold - 201 7 Melbourne International Wine Show and 2016 Western Australia Wine Show,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
65,,,,,,Unknown,,,,,,,,,,,,,,,,
66,12.8% (2014),Mount Mary,Cork,Australia,2014*,Pinot Noir,$133.00 in any six,$798.00 per case of 6,$139.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Yarra Valley,750mL,7.6 (2014),Victoria,Pinot Noir,Light Bodied,Dry,Outstanding,,
67,13.5%,Yellow Tail,Screw Cap,Australia,2017*,Pinot Noir,$8.55 in any six,$102.60 per case of 12,$8.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.0,New South Wales,Pinot Noir,,,,,
68,,,,,,Unknown,,,,,,,,,,,,,,,,
69,14.5% (2015),Kalleske,Screw Cap,Australia,2015*,Greenock Shiraz,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Barossa Valley,750mL,8.6 (2015),South Australia,Shiraz,Full Bodied,Dry,,true,
70,13.5,Wynns,Screw Cap,Australia,2013,John Riddoch Cabernet Sauvignon 2013,$113.99 in any six,$683.94 per case of 6,$119.99 per bottle,Ranked 4 of 56 Cabernet Sauvignon from Coonawarra,,,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Exceptional,,
71,14.5%,Jip Jip Rocks,Screw Cap,Australia,2016*,Shiraz,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"Awards: Gold - Melbourne International Wine Competition 2016. 2 Silver -  BTI World Wine Championships 2016, San Francisco International Wine Competition 2016.","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Padthaway,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
72,13.5%,By Farr,Cork,Australia,2011*,Sangreal Pinot Noir 2011,$95.00 in any six,$99.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,Geelong,750mL,8.0,Victoria,Pinot Noir,,Dry,,,
73,14,Stormy Creek,Cork,Australia,2016,Cabernet Sauvignon 2016,Delivery Offer$78.00 per case of 6,$15.00 per bottle,$84.00 per case of 6,Dry Red,,,South Australia,750ml,8.3,South Australia,Cabernet Sauvignon,Full Bodied,,,,
74,14.000000000000002%,Amberley,Screw Cap,Australia,2016*,Chimney Brush Merlot,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,Awards: Trophy for The Wine Communicators of Australia Perpetual Trophy for Best Other Red Varietal - Sydney Royal Wine Show 2017,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3,Western Australia,Merlot,Medium Bodied,Dry,,,
75,14.5%,Cape Barren,Screw Cap,Australia,2017*,Native Goose Grenache Shiraz Mourvedre,$20.90 in any six,$250.80 per case of 12,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,McLaren Vale,750mL,8.6,South Australia,Grenache Shiraz Mourvedre,Medium Bodied,Dry,,,
76,14.5%,d'Arenberg,Screw Cap,Australia,2014,Laughing Magpie Shiraz Viognier,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 16 Shiraz from McLaren Vale,,McLaren Vale,750mL,8.3,South Australia,Shiraz Viognier,,Dry,,,
77,15%,Château Tanunda,Cork,Australia,2016*,The Château Single Vineyard Shiraz,$26.60 in any six,$159.60 per case of 6,$27.99 per bottle,Awards: Blue Gold Medal - Sydney International Wine Competition 2018,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,
78,12.5%,McWilliams,Screw Cap,Australia,2017*,On The Grapevine Pinot Noir,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,7.4,,Pinot Noir,,,,,
79,11.5% (Non Vintage),Yellow Tail,Screw Cap,Australia,Non Vintage*,Sangria,$7.95 in any six,$44.70 per case of 6,$7.90 per bottle,,,,South Eastern Australia,750mL,6.8 (Non Vintage),,Sangria,,Sweet,,,
80,14.0%,Yalumba,Cork,Australia,2014*,The Menzies Cabernet Sauvignon,$46.60 in any six,$279.60 per case of 6,$48.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 12 of 33 Cabernet Sauvignon from Coonawarra,,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,true
81,14%,Tyrrell's,Screw Cap,Australia,2017*,Old Winery Cabernet Merlot,$10.45 in any six,$62.70 per case of 6,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.3,,Cabernet Merlot,Medium Bodied,Dry,,,
82,14.5%,Balnaves,Cork,Australia,,Cabernet Sauvignon 2009,$46.60 in any six,$559.20 per case of 12,$48.99 per bottle,Ranked 43 of 45 Cabernet Sauvignon from Coonawarra,,,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
83,13.5%,Banrock Station,Screw Cap,Australia,2017*,Cabernet Merlot,$6.65 in any six,$39.90 per case of 6,$6.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8.0,South Australia,Cabernet Merlot,Medium Bodied,Dry,,,
84,14.5%,Beresford,Screw Cap,Australia,2016,Shiraz,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,"Awards: 2018 New World Wine Awards (NZ)
2016 Beresford Classic Shiraz – Gold Medal","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 35 of 107 Shiraz from McLaren Vale,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,
85,15.0% (2014),Torbreck,Cork,Australia,2014*,Struie Shiraz Magnum 1.5L,$109.30 in any six,$655.80 per case of 6,$114.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Barossa Valley,1.5L,17.8 (2014),South Australia,Shiraz,Full Bodied,Dry,,,
86,14%,Rosemount,Screw Cap,Australia,,Balmoral Syrah 2012,$55.09 in any six,$327.09 per case of 6,$57.99 per bottle,,,,McLaren Vale,750mL,8.3,South Australia,Shiraz,,,,,
87,13.50%,Penfolds,Cork,Australia,1990,Bin 707 Cabernet Sauvignon 1990,$617.50 in any six,$650.00 per bottle,"Awards: 3 Gold - Adelaide Wine Show, Melbourne Wine Show 1991 & Perth Wine Show 1992.",,,,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Exceptional,,
88,14.5%,Devil's Lair,Screw Cap,Australia,2014*,Cabernet Sauvignon,$37.99 in any six,$227.94 per case of 6,$39.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 29 of 72 Cabernet Sauvignon from Margaret River,,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,
89,14.5%,Deep Woods,Screw Cap,Australia,2015*,Ebony Cabernet Shiraz,$12.40 in any six,$74.40 per case of 6,$12.99 per bottle,Awards: Double Gold Medal - China International Wine & Spirits Awards 2014,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.6,Western Australia,Cabernet Shiraz,Full Bodied,Dry,,,
