,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Current Vintage,Vegan Friendly,Price Option 3,Price Option 4,Langtons Classified,Organic
54,13.5%,Mount Langi Ghiran,Screw Cap,Australia,Talus Shiraz 2017,$57.00 in any six,$342.00 per case of 6,$59.99 per bottle,Grampians,750mL,8,Victoria,Shiraz,,,2017,,,,,
55,14%,Allinda,Cork,Australia,Heathcote Shiraz 2017,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,Heathcote,750mL,8.3,Victoria,Shiraz,,,2017,,,,,
56,15%,Trevor Jones,Screw Cap,Australia,Trevor Jones Epernay Limited Release Barossa Shiraz 2014,$105.00 per pack of 3,$202.50 per case of 6,,Barossa Valley,750mL,8.9,South Australia,Shiraz,,Dry,,,,,,
57,15.0%,Penley Estate,,Australia,Scottsburn Cabernet Shiraz,$42.80 in any six,$256.80 per case of 6,$44.99 per bottle,Coonawarra,750mL,8.9,South Australia,Cabernet Shiraz,Full Bodied,Dry,2014*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
58,14.00%,Mildara,Screw Cap,Australia,Coonawarra Cabernet Sauvignon 2012,$29.99 per bottle,$171.00 per case of 6,$28.50 in any six,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,Ranked 36 of 54 Cabernet Sauvignon from Coonawarra,,,
59,,,,,Unknown,,,,,,,,,,,,,,,,
60,15%,Henry's Drive,Screw Cap,Australia,Magnus Shiraz,$65.00 per bottle,$390.00 per case of 6,,Padthaway,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,,,
61,13.5%,Quattro Mano,Screw Cap,Australia,Duende Pinta,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,Barossa Valley,750mL,8.0,South Australia,Red Blend,,Dry,2015*,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
62,14.50%,Grant Burge,Cork,Australia,Meshach Shiraz 2003,$167.99 per bottle,Ranked 29 of 50 Shiraz from Barossa Valley,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,2003,,,,Outstanding,
63,13.50%,Cullen,Cork,Australia,Cabernet Merlot 1996,$199.99 per bottle,,,Margaret River,750mL,8,Western Australia,Cabernet Merlot,Medium Bodied,Dry,1996,,,,Exceptional,true
