,Alcohol Volume,Brand Name,Closure,Country,Langtons Classified,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Style,Current Vintage,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Wine Body,Vegan Friendly
82,14.50%,Tallis Wines,Screw Cap,Australia,,Dookie Hills Viognier 2010,$17.05 in any six,Strathbogie Ranges,750mL,8.6,Victoria,Viognier,Dry,,$201.95 per case of 12,$17.90 per bottle,Awards: Trophy - Boutique Wine Awards 2012 (Best Other White of Show),Ranked 15 of 29 Viognier from Australia,,
83,12.5%,Glendale,Screw Cap,Australia,,LC Chardonnay 750mL,$19.99 per bottle,Limestone Coast,750ml,7.4,South Australia,Chardonnay,Dry,,$239.88 per case of 12,,,,Light Bodied,
84,12.5,Mt Lofty Ranges Vine,Screw Cap,Australia,,Mt Lofty Ranges 2016 Old Cherry Block Sauvignon Blanc,$27.80 per bottle,Adelaide Hills,750mL,7.4,South Australia,Sauvignon Blanc,Dry,,$276.00 per case of 12,,,,Medium Bodied,
85,14.50%,Tallis Wines,Screw Cap,Australia,,Dookie Hills Viognier 2010,$17.05 in any six,Strathbogie Ranges,750mL,8.6,Victoria,Viognier,Dry,,$201.95 per case of 12,$17.90 per bottle,Awards: Trophy - Boutique Wine Awards 2012 (Best Other White of Show),Ranked 15 of 29 Viognier from Australia,,
86,13,Epic Negociants,,Australia,,Gneissic Rock Margaret River Chardonnay,$30.00 per bottle,,750ml,7.7,Western Australia,Chardonnay,Dry,,$180.00 per case of 6,,,,Medium Bodied,
87,12.5,Mt Lofty Ranges Vine,Screw Cap,Australia,,Mt Lofty Ranges 2016 Old Cherry Block Sauvignon Blanc,$27.80 per bottle,Adelaide Hills,750mL,7.4,South Australia,Sauvignon Blanc,Dry,,$276.00 per case of 12,,,,Medium Bodied,
88,12.2%,K1 by Geoff Hardy,Screw Cap,Australia,,Adelaide Hills Sauvignon Blanc 2017,,Adelaide Hills,750mL,7.2,South Australia,Sauvignon Blanc,Dry,2017,,,,,Light Bodied,
89,13,Fowles Wines,Screw Cap,Australia,,Ladies Who Shoot Their Lunch Wild Ferment Chardonnay,$34.95 per bottle,Victoria,750mL,7.7,Victoria,Chardonnay,Dry,Screw Cap,$209.70 per case of 6,Dry White,,,,
90,13%,James Estate,Screw Cap,Australia,,Chardonnay Upper Hunter Valley 2017,$19.95 per bottle,Hunter Valley,750mL,7.7,New South Wales,Chardonnay,Dry,,$239.00 per case of 12,"Awards: Silver Medal, Hunter Valley Wine Show 2018",,,Medium Bodied,
91,5.5% (2008),Jeanneret,Screw Cap,Australia,,Mosquito,$15.90 in any six,Clare Valley,750mL,3.3 (2008),South Australia,Moscato,Semi Sweet,2008,$190.80 per case of 12,$15.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
92,13,Fowles Wines,Screw Cap,Australia,,Ladies Who Shoot Their Lunch Wild Ferment Chardonnay,$34.95 per bottle,Victoria,750mL,7.7,Victoria,Chardonnay,Dry,Screw Cap,$209.70 per case of 6,Dry White,,,,
93,13.5%,Ulupna,Screw Cap,Australia,,Chardonnay 2017,$23.00 each,Goulburn Valley,750mL,7.9,Victoria,Chardonnay,Dry,2017,$120.00 per case of 6,,,,,
94,13.0% (2014),Evans & Tate,Screw Cap,Australia,,Gnangara Sauvignon Blanc,$7.88 in any six,,750mL,7.7 (2014),Western Australia,Sauvignon Blanc,Dry,2014*,$47.28 per case of 6,$7.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
95,13.5%,The Remarkable State,Screw Cap,Australia,,Proclamation Adelaide Hills Pinot Grigio 2017,2017,Adelaide Hills,750mL,8,South Australia,Pinot Grigio,,2017,,,,,,
96,12.5%,Woodvale,Screw Cap,Australia,,Skilly Riesling 2014,$23.80 in any six,Clare Valley,750mL,7.4,South Australia,Riesling,,2014*,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
97,11.0% (2013),McWilliam's,Screw Cap,Australia,,Hanwood Estate Semillon Sauvignon Blanc,$7.88 in any six,Riverina,750mL,6.5 (2013),New South Wales,Semillon Sauvignon Blanc,Dry,2013*,$47.28 per case of 6,$7.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
98,13.50%,Giaconda,Cork,Australia,Exceptional,Chardonnay 1997,$139.99 per bottle,Beechworth,750mL,8,Victoria,Chardonnay,Dry,1997,,,,,,
99,13.00%,Grosset,Cork,Australia,Exceptional,Polish Hill Riesling 1999,$69.99 per bottle,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,1999,,,,,,
100,12.50%,Heggies,Screw Cap,Australia,,Riesling 2006,$22.90 in any six,Eden Valley,750mL,7.4,South Australia,Riesling,Dry,2006,$137.40 per case of 6,$24.99 per bottle,,,,
101,12.5% (2013),Wirra Wirra,,Australia,,Hiding Champ Sauvignon Blanc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Adelaide Hills,750mL,7.4 (2013),South Australia,Sauvignon Blanc,Dry,2013*,Ranked 4 of 34 Sauvignon Blanc from Adelaide Hills,,,,,
102,13.5% (2013),Lindeman's,Screw Cap,Australia,,Bin 65 Chardonnay 375mL,$4.75 in any six,,375mL,4 (2013),,Chardonnay,Dry,2013*,$56.29 per case of 12,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
103,12.5% (2006),River Breeze,Screw Cap,Australia,,Chenin Semillon Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.4 (2006),South Australia,Chenin Blanc Semillon Chardonnay,Dry,2006*,,,,,,
104,13.5% (2008),Moondah Brook,Screw Cap,Australia,,Classic Dry White,$11.99 per bottle,,750mL,8.0 (2008),Western Australia,White Blend,Dry,2008*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
105,12.0% (2012),Morris,Cask Closure,Australia,,Reserve Chardonnay Cask 4L,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,4L,38.0 (2012),Victoria,Chardonnay,Dry,2012*,,,,,,
106,13.0% (2012),Bridgewater Mill,Screw Cap,Australia,,Pinot Grigio,$14.19 in any six,Adelaide Hills,750mL,7.7 (2012),South Australia,Pinot Grigio,Dry,2012*,$84.05 per case of 6,$14.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
107,13.00%,Penfolds,Screw Cap,Australia,,Reserve Bin Riesling 2004,$28.49 in any six,Eden Valley,750mL,7.7,South Australia,Riesling,Dry,,$169.15 per case of 6,$29.99 per bottle,,,,
108,14.5% (2010),David Hook,Screw Cap,Australia,,Viognier,$23.75 in any six,Hunter Valley,750mL,8.6 (2010),New South Wales,Viognier,Dry,2010*,$142.50 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
109,,,,,,Unknown,,,,,,,,,,,,,,
110,12.50%,Tim Adams,Screw Cap,Australia,,Riesling 2002,$33.25 in any six,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,2002,$394.69 per case of 12,$34.99 per bottle,Ranked 1 of 31 Riesling from Clare Valley,,,
111,13.50%,Penfolds,Cork,Australia,Outstanding,Yattarna Chardonnay 2002,$85.45 in any six,,750mL,8,South Australia,Chardonnay,Dry,,$507.05 per case of 6,$89.90 per bottle,Ranked 3 of 26 Chardonnay from Australia,,,
112,11.50%,McWilliam's,Cork,Australia,Outstanding,Mount Pleasant Lovedale Semillon 1995,$59.99 per bottle,Hunter Valley,750mL,6.8,New South Wales,Semillon,Dry,1995,,,,,,
113,13.00%,Pauletts,Screw Cap,Australia,,Riesling 2005,$19.95 in any six,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,,$236.79 per case of 12,$20.99 per bottle,,,,
114,13.5% (2008),Pewsey Vale,Screw Cap,Australia,,Gewürztraminer,$20.90 in any six,Eden Valley,750mL,8.5 (2008),South Australia,Gewürztraminer,Dry,2008*,$129.69 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 22 Gewürztraminer from Australia,,
