,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,Varietal,Wine Style,State,Price Option 2,Wine Body,Vegan Friendly,Price Option 3,Price Option 4,Price Option 5,Langtons Classified,Organic
80,13.5%,Yeringberg,Cork,Australia,2015*,Pinot Noir,$123.50 in any six,$741.00 per case of 6,,750mL,8.0,Pinot Noir,Dry,Victoria,$129.99 per bottle,Light Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 3 of 76 Pinot Noir from Yarra Valley,,,
81,13.5%,Houghton,Screw Cap,Australia,2016*,Gladstones Cabernet Sauvignon,$65.60 in any six,$393.60 per case of 6,Margaret River,750mL,8.0,Cabernet Sauvignon,Dry,Western Australia,$68.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 26 Cabernet Sauvignon from Margaret River,,,
82,13.5%,Riorret,Cork,Australia,2017*,The Abbey Pinot Noir,$37.99 in any six,$227.94 per case of 6,Yarra Valley,750mL,8.0,Pinot Noir,Dry,Victoria,$39.99 per bottle,Light Bodied,,Awards: Gold Medal - UK Global Pinot Noir Masters Competition 2013,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
83,11.8%,Head,Screw Cap,Australia,2016*,Nouveau,$20.90 in any six,$250.80 per case of 12,,750mL,7.0,Touriga Blend,Dry,South Australia,$21.99 per bottle,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
84,13.5% (2015),Leura Park,Screw Cap,Australia,2015*,Shiraz,$32.30 in any six,$33.99 per bottle,Bellarine,750mL,8 (2015),Shiraz,Dry,Victoria,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,,,,,,
85,12% (2011),Chalmers,Screw Cap,Australia,2011*,Aglianico,$38.00 in any six,$228.00 per case of 6,,750mL,7.1 (2011),Aglianico,Dry,Victoria,$39.99 per bottle,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
86,14.50%,John Duval,Screw Cap,Australia,2016*,Annexus,$57.00 in any six,$342.00 per case of 6,Barossa Valley,750mL,8.6,Grenache,Dry,South Australia,$59.99 per bottle,Medium Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 8 of 29 Grenache from Barossa Valley,,,
87,14.50%,Clarendon Hills,Cork,Australia,,Syrah Piggot Range Vineyard 2004,$329.99 per bottle,,McLaren Vale,750mL,8.6,Syrah,Dry,South Australia,,,,,,,,
88,13.5%,Celler Frisach,,Australia,,L'Abrunet Negre,$26.95 per bottle,$323.40 per case of 12,,750mL,7.9,Grenache Carignan,,,,,,,,,,
89,13.0%,Torito Bravo,,Australia,,Organic Yecla Tempranillo,$19.95 per bottle,$239.40 per case of 12,,750mL,7.6,Tempranillo,,,,,,,,,,
90,14%,Paradise IV,Screw Cap,Australia,2016*,Dardel,$75.10 in any six,$901.20 per case of 12,Geelong,750mL,8,Shiraz,Dry,Victoria,$78.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 39 Shiraz from Port Phillip,,,
91,13.0% (2014),Santolin,Screw Cap,Australia,2014*,Pinot Noir,$45.60 in any six,$547.20 per case of 12,Yarra Valley,750mL,7.7 (2014),Pinot Noir,Dry,Victoria,$47.99 per bottle,Light Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
92,14%,Sweetwater,Screw Cap,Australia,,Shiraz,$49.99 per bottle,$280.00 per case of 6,Hunter Valley,750mL,8.3,Shiraz,Dry,New South Wales,Awards: Gold Medal; 2018 NSW Wine Awards,Full Bodied,,,,,,
93,13.0% (2013),Castagna,Cork,Australia,2013*,La Chiave Sangiovese,$71.30 in any six,$427.80 per case of 6,Beechworth,750mL,7.7 (2013),Sangiovese,Dry,Victoria,$74.99 per bottle,Medium Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 2 of 20 Sangiovese from Victoria,,,
94,13.5%,Jim Barry,Screw Cap,Australia,2012*,Benbournie Cabernet Sauvignon 2012,Delivery Offer$69.90 per bottle,$76.00 in any six,Clare Valley,750mL,8.0,Caberent Sauvignon,,South Australia,$456.00 per case of 6,,,$79.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
95,13.5%,Epic Negociants,Screw Cap,Australia,2017*,Gneissic Rock Margaret River Cabernet Sauvignon 2017,$28.50 in any six,$171.00 per case of 6,Margaret River,750mL,8.0,,,Western Australia,$29.99 per bottle,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
96,14.5% (2011),Chapel Hill,Screw Cap,Australia,2011*,McLaren Vale Grenache 2011,$39.99 per bottle,$227.94 per case of 6,McLaren Vale,750mL,8.6 (2011),Grenache,Dry,South Australia,$37.99 in any six,,,,,,,
97,12.60%,Penfolds,Cork,Australia,1957,Grange 1957,"$35,000.00 per bottle",,,750mL,7.5,Shiraz,Dry,South Australia,,Full Bodied,,,,,Exceptional,
98,14.5% (2010),Echo Vale,Screw Cap,Australia,2010*,Classic Barossa Blend,$17.00 in any six,$102.00 per case of 6,Barossa Valley,750mL,8.6 (2010),Merlot Cabernet Cabernet Franc,Dry,South Australia,$17.90 per bottle,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
99,14.0% (2013),Swan Bay,Screw Cap,Australia,2013*,Shiraz,$18.10 in any six,$108.25 per case of 6,Geelong,750mL,8.3 (2013),Shiraz,Dry,Victoria,$18.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
100,14,Austins & Co.,Screw Cap,Australia,,Custom Collection 'Spencer' Shiraz 2016,$50.00 per bottle,$300.00 per case of 6,Geelong,750mL,8.3,Shiraz,,Victoria,Awards: Awarded 95 points (Gold Medal) from James Haliday Wine Companion,Full Bodied,,,,,,
101,14.5%,Balnaves,Cork,Australia,2012*,The Tally Reserve Cabernet Sauvignon,$85.50 in any six,$513.00 per case of 6,Coonawarra,750mL,8.6,Cabernet Sauvignon,Dry,South Australia,$89.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 30 of 49 Cabernet Sauvignon from Coonawarra,,Outstanding,
102,13.5% (2010),Carlei,Screw Cap,Australia,2010*,Green Vineyards Pinot Noir,$30.40 in any six,$364.80 per case of 12,,750mL,8 (2010),Pinot Noir,Dry,Victoria,$31.99 per bottle,Light Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,true
103,14%,Jim Barry,Cork,Australia,Non Vintage*,The Benbournie Cabernet Sauvignon,$76.00 in any six,$456.00 per case of 6,Clare Valley,750mL,8.3,Cabernet Sauvignon,Dry,South Australia,$79.99 per bottle,Full Bodied,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
