,Alcohol Volume,Brand Name,Closure,Country,Name,Price Option 0,Price Option 1,Region,Size,Standard Drinks,State,Varietal,Vegan Friendly,Wine Style,Current Vintage,Price Option 2,Price Option 3,Price Option 4,Organic,Wine Body,Price Option 5
56,12.5,Beelgara Estate,Screw Cap,Australia,Sauvignon Blanc 2017,$9.50 per bottle,$108.00 per case of 12,NSW,750mL,7.4,,Sauvignon Blanc,,,,,,,,,
57,8,James Estate,Screw Cap,Australia,Sweet Surrender,$14.95 per bottle,$85.43 per case of 6,Hunter Valley,750mL,4.7,New South Wales,Semillon,,,2016*,Ranked 12 of 38 Sémillon from Hunter,,,,Light Bodied,
58,11.5,Artiste,Screw Cap,Australia,South Face Riesling,$24.00 per bottle,$110.00 per case of 6,Eden Valley,750mL,6.8,South Australia,Riesling,,Semi Dry,,"Awards: 2017 Sydney International Wine Competition – Blue Gold Medal
2018 Canberra International Riesling Challenge - Gold Medal
2016 International Wine & Spirit Competition – Silver Medal
2017 Melbourne International Wine Awards – Silver Medal
2017 Royal Queensland Wine Show – Bronze Medal
2017 Canberra International Riesling Challenge – Bronze Medal
2016 Canberra International Riesling Challenge – Bronze Medal",,,,Medium Bodied,
59,12.5%,Pete's Pure,Screw Cap,Australia,Fiano,$14.99 per bottle,$89.94 per case of 6,Murray Darling,750mL,7.7,New South Wales,Fiano,true,Semi Dry,,,,,,Light Bodied,
60,13%,Merindoc,Screw Cap,Australia,Pinot Gris 2018,$27.00 per bottle,$162.00 per case of 6,Heathcote,750mL,8,Victoria,Pinot Gris,,Semi Dry,,,,,,Medium Bodied,
61,13.2%,Merindoc,Screw Cap,Australia,Willoughby Bridge Vermentino 2018,$27.00 per bottle,$162.00 per case of 6,Heathcote,750ml,7.6,Victoria,Vermentino,,Dry,,Awards: Awarded a silver medal at The Victorian Wine show November 2018,,,,,
62,,,,,Unknown,,,,,,,,,,,,,,,,
63,12.5,Beelgara Estate,Screw Cap,Australia,Pinot Grigio 2017,$9.50 per bottle,$108.00 per case of 12,NSW,750mL,7.4,,Pinot Grigio,,,,,,,,,
64,12.0%,BY:Geoff Hardy,Screw Cap,Australia,Regional Series Semillon Sauvignon Blanc 2018,$24.95 per bottle,$299.40 per case of 12,Adelaide Hills,750mL,7.1,South Australia,Semillon Sauvignon Blanc,,Dry,2018,,,,,Medium Bodied,
65,,,,,Unknown,,,,,,,,,,,,,,,,
66,13%,Epic Negociants,Screw Cap,Australia,Upper Yarra Chardonnay 2018,$30.00 per bottle,$180.00 per case of 6,Yarra Valley,750mL,7.7,Victoria,Chardonnay,,Dry,2018,,,,,Light Bodied,
67,13.0% (2013),Knight Granite Hills,Screw Cap,Australia,Chardonnay,$25.70 in any six,$308.40 per case of 12,Macedon Ranges,750mL,7.7 (2012),Victoria,Chardonnay,,Dry,2013*,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
68,,,,,Unknown,,,,,,,,,,,,,,,,
69,12.4,Rosabrook,Screw Cap,Australia,Single Vineyard Estate Chardonnay 2015,$44.95 per bottle,$269.70 per case of 6,Margaret River,750mL,8.6,,Chardonnay,,,,,,,,,
70,11.2,Goldman Wines,Screw Cap,Australia,Semillon 2014,$19.90 per bottle,$99.00 per case of 6,Hunter Valley,750mL,6.6,,Semillon,,,,,,,,,
71,12.5%,St Johns Brook,Screw Cap,Australia,Margaret River Reserve Chardonnay 2017 750mL,$49.80 per bottle,$239.04 per case of 6,Margaret River,750mL,7.4,Western Australia,Chardonnay,,,,"Awards: 95 pts James Halliday 2017
93 pts Ray Jordan Wine Guide 2017",,,,,
72,12.2%,Jane Brook,,Australia,Margaret River Sauvignon Blanc 2015,$19.50 per bottle,$102.00 per case of 6,Margaret River,750mL,7.11,,Sauvignon Blanc,,,,,,,,,
73,12.5%,St Johns Brook,Screw Cap,Australia,Margaret River Reserve Chardonnay 2017 750mL,$49.80 per bottle,$239.04 per case of 6,Margaret River,750mL,7.4,Western Australia,Chardonnay,,,,"Awards: 95 pts James Halliday 2017
93 pts Ray Jordan Wine Guide 2017",,,,,
