,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 1,Region,Price Option 2,Price Option 3,Price Option 4,Price Option 5,Vegan Friendly
22,14.5,The Remarkable State,Screw Cap,Australia,2012,,Proclamation Barossa Valley GSM 2012,2012,750mL,8.6,South Australia,Grenache Shiraz Mataro,,Dry,,Barossa Valley,,,,,
23,13%,The Remarkable State,Screw Cap,Australia,2017,,1836 Single Vineyard Adelaide Hills Pinot Noir 2017,,750mL,7.7,South Australia,Pinot Noir,,,,Adelaide Hills,,,,,
24,13.50%,Wynns,Cork,Australia,1997,Outstanding,Michael Shiraz 1997,$114.99 per bottle,750mL,8,South Australia,Shiraz,Full Bodied,Dry,,Coonawarra,,,,,
25,14.00%,Penfolds,Cork,Australia,1998,Excellent,Kalimna Bin 28 Shiraz 1998,$89.99 per bottle,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Ranked 5 of 21 Shiraz from South Australia,Barossa Valley,,,,,
26,13.50%,Wynns,,Australia,1999,Excellent,Black Label Cabernet Sauvignon 1999,$69.99 per bottle,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 10 of 17 Cabernet Sauvignon from Australia,Coonawarra,,,,,
27,13.50%,Wynns,Cork,Australia,1999,Exceptional,John Riddoch Cabernet Sauvignon 1999,$149.99 per bottle,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Coonawarra,,,,,
28,13.0% (2017),Angove,Screw Cap,Australia,2017*,,Nine Vines Grenache Shiraz Rosé,$12.40 in any six,750mL,7.7 (2017),South Australia,Grenache Shiraz,Light Bodied,Dry,$74.40 per case of 6,Riverland,$12.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 8 of 39 Grenache from South Australia,,
29,14.5% (2013),Heartland,Screw Cap,Australia,2013*,,Stickleback Red,$9.88 per bottle,750mL,8.6 (2013),South Australia,Red Blend,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
30,14.50%,Penfolds,Cork,Australia,2002,Excellent,Kalimna Bin 28 Shiraz 2002,$89.99 per bottle,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 14 of 42 Shiraz from Barossa Valley,,,,,,
31,14.50%,Saltram,Screw Cap,Australia,,,Winemaker's Selection Cabernet Sauvignon 2004,$37.99 in any six,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,$225.55 per case of 6,Barossa Valley,$39.99 per bottle,,,,
