,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Langtons Classified,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Region,Organic,Price Option 5,Vegan Friendly
26,15% (2015),Domaine Asmara,Screw Cap,Australia,2015*,,Private Collection Shiraz,$26.99 in any six,$153.90 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.9 (2015),Victoria,Shiraz,Full Bodied,Dry,Heathcote,,,
27,13.5%,Watson Family Vineyards,Screw Cap,Australia,2015*,,Shiraz,$17.10 in any six,$205.20 per case of 12,$17.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,Western Australia,Shiraz,Full Bodied,Dry,Margaret River,,,
28,14.50%,Chapel Hill,Screw Cap,Australia,,,Cabernet Sauvignon 2010,$37.10 in any six,$445.20 per case of 12,$38.99 per bottle,Ranked 20 of 44 Cabernet Sauvignon from McLaren Vale,,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,McLaren Vale,,,
29,14.00%,The Old Faithful,Cork,Australia,,,Sandhill Grenache 2009,$52.30 in any six,$313.80 per case of 6,$54.99 per bottle,,,750mL,8.3,South Australia,Grenache,Medium Bodied,Dry,McLaren Vale,,,
30,13%,Levantine Hill,,Australia,2014*,,Cabernet Sauvignon,$76.00 in any six,$456.00 per case of 6,$79.99 per bottle,Awards: Gold Medal - 6 Nations Wine Challenge 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7,Victoria,Cabernet Sauvignon,Full Bodied,Dry,Yarra Valley,,Ranked 21 of 25 Cabernet Sauvignon from Victoria,
31,13.00%,Mount Mary,Cork,Australia,,Exceptional,Quintet 2008,$375.00 per bottle,,,,,1.5L,15.4,Victoria,Cabernet Blends,,Dry,Yarra Valley,,,
32,13.5%,6Ft6,Screw Cap,Australia,,,Limited Edition Art by Kimmy Hogan Shiraz 2017,$20.00 per bottle,$120.00 per case of 6,,,,750mL,8.0,Victoria,Shiraz,Medium Bodied,,Geelong,,,true
33,15% (2015),Domaine Asmara,Screw Cap,Australia,2015*,,Private Collection Shiraz,$26.99 in any six,$153.90 per case of 6,$26.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.9 (2015),Victoria,Shiraz,Full Bodied,Dry,Heathcote,,,
34,14.5%,Shottesbrooke,Screw Cap,Australia,2014,,Tom's Block Single Vineyard Shiraz 2014,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,Awards: Gold Medal - Mundus Vini 2014,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,McLaren Vale,,,
35,14\t,Em's Table,Screw Cap,Australia,,,Shiraz 2014,$22.99 per bottle,$131.94 per case of 6,,,,750mL,8.3,,Shiraz,Full Bodied,,"Clare Valley, SA",,,
36,14.5%,Turners Crossing,Screw Cap,Australia,2012*,,Cabernet Sauvignon,$23.75 in any six,$285.00 per case of 12,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,Victoria,Cabernet Sauvignon,Full Bodied,Dry,Bendigo,,,
37,13,Atticus,,Australia,,,Margaret River Cabernet Sauvignon 2007,$74.99 per bottle,$404.95 per case of 6,,,,750mL,7.7,,Cabernet Sauvignon,,,Margaret River,,,
38,12.5%,Closeries des Moussi,,Australia,,,Margaux,$119.95 per bottle,"$1,439.40 per case of 12",,,,750mL,7.3,,Cabernet Sauvignon,,,,,,
39,13.5%,6Ft6,Screw Cap,Australia,,,Limited Edition Art by Kimmy Hogan Shiraz 2017,$20.00 per bottle,$120.00 per case of 6,,,,750mL,8.0,Victoria,Shiraz,Medium Bodied,,Geelong,,,true
40,14.5,Rosabrook,Screw Cap,Australia,2015,,Single Vineyard Cabernet Sauvignon 2015,$44.95 per bottle,$269.70 per case of 6,"Awards: Silver medal, Perth Royal Wine Awards 2018.",Dry Red,,750mL,8.6,FRE,Cabernet Sauvignon,Full Bodied,Dry,Margaret River,,,
41,13.2%,Nuova Scuola,Screw Cap,Australia,,,Mixed Reds,$140.00 per pack of 6,$264.00 per case of 12,,,,750mL,7.8,Queensland,,,,South Burnett,,,
42,13.9%,The Roost,,Australia,,,Heathcote Shiraz 2013,$11.00 per bottle,$54.00 per case of 6,,,,750mL,8.3,Victoria,Shiraz,,Dry,Heathcote,,,
43,13.4%,Tuck's NOW,Screw Cap,Australia,,,Rose 2017,$23.00 per bottle,$130.00 per case of 6,,,,750mL,7.8,Victoria,Pinot Noir Rose,,Dry,Mornington Peninsula,,,true
44,14.5%,Shaw Wines,Screw Cap,Australia,,,Winemakers Selection Cabernet Merlot,$20.99 per bottle,$125.94 per case of 6,Awards: Gold Medal – International Cool Climate Wine Show 2018,,,750mL,8.6,New South Wales,"Cabernet Sauvignon, Merlot",Full Bodied,Dry,Canberra District,,,
45,13.4%,St Johns Brook,Screw Cap,Australia,,,Margaret River Reserve Cabernet Sauvignon 2014 750mL,$49.80 per bottle,$239.04 per case of 6,"Awards: 93 pts West Australian Wine Guide 2017 Ray Jordan 
5 STARS WINESTATE Best of the West 2016",,,750mL,7.9,Western Australia,Cabernet Sauvignon,,,Margaret River,,,
46,14%,Curtis Limited Series,Cork,Australia,,,McLaren Vale Grenache 2016,$100.00 per bottle,$400.00 per case of 6,"Awards: 94 Points James Halliday Wine Companion
96 Points Wine Orbit
5 stars Wine Orbit",,,750mL,8.3,South Australia,Grenache,Full Bodied,Dry,McLaren Vale,,,
