,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 4,Langtons Classified,Price Option 5,Vegan Friendly,Organic
108,14.5%,Mr Mick,Screw Cap,Australia,2013*,Shiraz,$14.30 in any six,$85.80 per case of 6,$14.60 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 24 of 34 Shiraz from Clare Valley,,,,
109,13.5%,Journey Wines,Screw Cap,Australia,2017,Yarra Valley Pinot Noir 2017,$38.00 per bottle,$228.00 per case of 6,,,Yarra Valley,750mL,8.0,Victoria,Pinot Noir,Light Bodied,Dry,,,,true,
110,12.8%,Bass Phillip,Cork,Australia,2016,Estate Pinot Noir,$76.00 in any six,$456.00 per case of 6,$80.00 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Gippsland,750mL,7.5,Victoria,Pinot Noir,Light Bodied,,Ranked 5 of 16 Pinot Noir from Gippsland,,,,
111,14.5%,El Desperado,Screw Cap,Australia,2017,Pinot Noir 2017,$19.00 in any six,$228.00 per case of 12,$19.99 per bottle,,Adelaide Hills,750mL,8.6,South Australia,Pinot Noir,,,,,,,
112,13.5% (2015),Woods Crampton,Screw Cap,Australia,2015*,Pedro GSM,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.0 (2015),South Australia,Red Blend,,Dry,,,,,
113,13.5% (2012),Craiglee,Cork,Australia,2012*,Shiraz,$57.00 in any six,$684.00 per case of 12,$59.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Sunbury,750mL,8 (2012),Victoria,Shiraz,Full Bodied,Dry,Ranked 19 of 48 Shiraz from Port Phillip,Excellent,,,
114,14.7%,Kooks,Screw Cap,Australia,2017*,Labour of Love Shiraz,$14.99 per bottle,$85.50 per case of 6,$14.25 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.7,South Australia,Shiraz,Full Bodied,Dry,,,,,
115,14.8% (2013),Caillard,Screw Cap,Australia,2013*,Cabernet Sauvignon,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.8 (2013),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,
116,13.5% (2013),Shadowfax,Screw Cap,Australia,2013*,Shiraz,$18.99 in any six,$227.88 per case of 12,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Geelong,750mL,8 (2013),Victoria,Shiraz,Full Bodied,Dry,,,,,
117,14.5%,Brown Brothers,,Australia,2016*,18 Eighty Nine Cabernet Sauvignon,$15.19 in any six,$91.14 per case of 6,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,,,
118,14.5%,Fox Creek,Screw Cap,Australia,2016*,Red Baron Shiraz,$16.15 in any six,$193.80 per case of 12,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,,
119,14.0%,Yalumba,Screw Cap,Australia,2017*,Old Bush Vine Grenache,$14.20 in any six,$85.20 per case of 6,$14.90 per bottle,Awards: Trophy - Barossa Valley Wine Show 2012. Gold - Barossa Valley Wine Show 2012. Blue Gold - Sydney International Wine Show 2013,Barossa Valley,750mL,8.3,South Australia,Grenache,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,true,
