,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Organic
15,14.5% (2006),Clarendon Hills,Cork,Australia,2006*,Bakers Gully Syrah,$66.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,McLaren Vale,750mL,8.6 (2006),South Australia,Shiraz,Full Bodied,Dry,,
16,13.50%,Barwang,Screw Cap,Australia,2007,Cabernet Sauvignon 2007,$18.05 in any six,$108.30 per case of 6,$18.99 per bottle,Ranked 106 of 203 Cabernet Sauvignon from Australia,,Hilltops,750mL,8,New South Wales,Cabernet Sauvignon,Full Bodied,Dry,,
17,14.00%,Penfolds,Screw Cap,Australia,2005,St Henri Shiraz 2005,$149.99 per bottle,Ranked 6 of 112 Shiraz from Barossa Valley,,,,,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Outstanding,
18,14.00%,Henschke,Screw Cap,Australia,2004,Hill of Grace Shiraz 2004,Ranked 1 of 69 Shiraz from Barossa,,,,,Eden Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Exceptional,
19,14.50%,Henschke,Screw Cap,Australia,2005,Hill of Grace Shiraz 2005,$849.00 per bottle,Ranked 1 of 123 Shiraz from Barossa,,,,Eden Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Exceptional,
20,13.50%,Wendouree,Cork,Australia,2006,Cabernet Malbec 2006,$116.90 in any six,$122.99 per bottle,,,,Clare Valley,750mL,8,South Australia,Cabernet Malbec,,Dry,Outstanding,
21,13.90%,Henschke,Cork,Australia,,Cyril Henschke Cabernet Sauvignon 1983,$299.99 per bottle,,,,,Barossa Valley,750mL,8.2,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,
22,14.50%,Best's Great Western,Screw Cap,Australia,,Bin 0 Shiraz 2008,$109.30 in any six,$114.99 per bottle,Ranked 1 of 16 Shiraz from Grampians,,,Grampians,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,Excellent,
23,14.50%,Turkey Flat,Screw Cap,Australia,,Shiraz 2000,$79.99 per bottle,Ranked 7 of 15 Shiraz from Barossa Valley,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,
24,13.00%,Castagna,Cork,Australia,,Genesis Syrah 1998,$129.99 per bottle,,,,,Beechworth,750mL,7.7,Victoria,Shiraz,Full Bodied,Dry,,
25,14.50%,Chris Ringland,Cork,Australia,,Dry Grown Shiraz 2003,"$1,450.00 per bottle",,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,
26,13.60%,Wendouree,Cork,Australia,2006,Shiraz 2006,$209.99 per bottle,,,,,Clare Valley,750mL,8,South Australia,Shiraz,Full Bodied,Dry,Exceptional,
