,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Price Option 3,Langtons Classified,Price Option 4,Organic,Vegan Friendly
75,14,Epic Negociants,Screw Cap,Australia,2016,Malakoff Vineyard Shiraz 2016,$25.00 per bottle,$150.00 per case of 6,,Pyrenees Ranges,750mL,8.3,,Shiraz,Full Bodied,,,,,,
76,13.5%,Trip Notes,,Australia,2016*,Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8,,Caberent Sauvignon,,,,,,,
77,14.00%,Cullen,Screw Cap,Australia,2007,Diana Madeline 2007,$154.99 per bottle,Ranked 12 of 44 Cabernet Sauvignon from Margaret River,,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot Cabernet Franc Petit Verdot,,Dry,,Exceptional,,true,
78,14.00%,Cullen,Screw Cap,Australia,2007,Diana Madeline 2007,$154.99 per bottle,Ranked 12 of 44 Cabernet Sauvignon from Margaret River,,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot Cabernet Franc Petit Verdot,,Dry,,Exceptional,,true,
79,13.50%,Devil's Lair,Screw Cap,Australia,2008,Cabernet Sauvignon 2008,$54.99 per bottle,$313.50 per case of 6,$52.25 in any six,Margaret River,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 19 of 51 Cabernet Sauvignon from Margaret River,,,,
80,13.50%,Woodlands,Screw Cap,Australia,2007,Nicolas Cabernet Sauvignon 2007,$204.30 in any six,"$2,451.60 per case of 12",$214.99 per bottle,Margaret River,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,Outstanding,,,
81,13.50%,Woodlands,Screw Cap,Australia,2007,Nicolas Cabernet Sauvignon 2007,$204.30 in any six,"$2,451.60 per case of 12",$214.99 per bottle,Margaret River,750mL,8,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,Outstanding,,,
82,13.5% (2013),Cape Mentelle,Screw Cap,Australia,2013*,Shiraz,Awards: 5 Trophies - Royal Perth Wine Show 2009,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 6 of 32 Shiraz from Margaret River,Margaret River,750mL,8.0 (2013),Western Australia,Shiraz,Full Bodied,Dry,,,,,
83,13.5% (2013),Cape Mentelle,Screw Cap,Australia,2013*,Shiraz,Awards: 5 Trophies - Royal Perth Wine Show 2009,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 6 of 32 Shiraz from Margaret River,Margaret River,750mL,8.0 (2013),Western Australia,Shiraz,Full Bodied,Dry,,,,,
84,14%,Wills Domain,Screw Cap,Australia,2015,Cuvée d' Élevage Matrix 2015,$95.00 in any six,$570.00 per case of 6,$99.99 per bottle,Margaret River,750mL,8.3,Western Australia,Red Blend,,Dry,,,,,
85,14.30%,Laurance,,Australia,,Merlot 2013,,,,Margaret River,,8.5,,Merlot,Medium Bodied,Dry,,,,,
86,14.00%,Voyager Estate,Screw Cap,Australia,2005,Cabernet Sauvignon Merlot 2005,$79.99 per bottle,Ranked 9 of 37 Cabernet Sauvignon from Margaret River,,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,Excellent,,,
87,14.00%,Voyager Estate,Screw Cap,Australia,2005,Cabernet Sauvignon Merlot 2005,$79.99 per bottle,Ranked 9 of 37 Cabernet Sauvignon from Margaret River,,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,Excellent,,,
88,14.5% (2011),Peter Lehmann,Screw Cap,Australia,2011*,Drawcard Shiraz Mataro,$12.00 per bottle,$69.00 per case of 6,$11.50 in any six,Barossa Valley,750mL,8.6 (2011),South Australia,Shiraz Mataro,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
89,14.5% (2014),Peter Lehmann,Screw Cap,Australia,2014*,Drawcard Shiraz,$10.88 per bottle,$65.28 per case of 6,$10.88 in any six,Barossa Valley,750mL,8.6 (2014),South Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
90,14.00%,Xanadu,Screw Cap,Australia,,Cabernet Sauvignon 2009,$39.89 in any six,$239.34 per case of 6,$41.99 per bottle,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,Ranked 35 of 48 Cabernet Sauvignon from Margaret River,,,,
91,14.50%,Pikes,Screw Cap,Australia,,Eastside Shiraz 2010,$32.99 per bottle,$188.10 per case of 6,$31.35 in any six,Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 14 of 33 Shiraz from Clare Valley,,,,
92,14.50%,Pikes,Screw Cap,Australia,,Eastside Shiraz 2010,$32.99 per bottle,$188.10 per case of 6,$31.35 in any six,Clare Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Ranked 14 of 33 Shiraz from Clare Valley,,,,
93,14.00%,Heathcote Estate,Screw Cap,Australia,,Shiraz 2011,Ranked 5 of 15 Shiraz from Heathcote,,,Heathcote,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,,,,
94,14.00%,Heathcote Estate,Screw Cap,Australia,,Shiraz 2011,Ranked 5 of 15 Shiraz from Heathcote,,,Heathcote,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,,,,,
95,14.5%,Driftwood,Screw Cap,Australia,2015,The Collection Margaret River Shiraz Cabernet Sauvignon,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,Margaret River,750mL,8.3,Western Australia,Shiraz Cabernet Sauvignon,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
96,13.5% (2013),Wildling,Screw Cap,Australia,2013*,Winemaker's Red Blend,$6.88 in any six,$41.28 per case of 6,$6.88 per bottle,,750mL,8 (2013),,Red Blends,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
97,14.5% (2013),Jasper Hill,Screw Cap,Australia,2013*,Emily's Paddock Shiraz Cabernet Franc,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Heathcote,750mL,8.6 (2013),Victoria,Shiraz Cabernet Franc,Full Bodied,Dry,,Outstanding,,true,
98,14.50%,Seppelt,Cork,Australia,1998,St Peters Great Western Shiraz 1998,$159.99 per bottle,,,Grampians,750mL,8.6,Victoria,Shiraz,Full Bodied,Dry,,Outstanding,,,
99,14.20%,Voyager Estate,Cork,Australia,2000,Cabernet  Sauvignon Merlot 2000,$62.99 per bottle,,,Margaret River,750mL,8.4,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,
100,14.20%,Voyager Estate,Cork,Australia,2000,Cabernet  Sauvignon Merlot 2000,$62.99 per bottle,,,Margaret River,750mL,8.4,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,
101,13.0% (2010),Clyde Park,Screw Cap,Australia,2010*,Estate Pinot Noir,$19.90 in any six,$238.80 per case of 12,$20.90 per bottle,,750mL,7.7 (2010),,Pinot Noir,Light Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 11 of 24 Pinot Noir from Geelong,,
102,15.0% (2010),Xanadu,Screw Cap,Australia,2010*,Shiraz,$20.89 in any six,$250.68 per case of 12,$21.99 per bottle,Margaret River,750mL,8.9 (2010),Western Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 25 of 28 Shiraz from Margaret River,,
103,15.0% (2010),Xanadu,Screw Cap,Australia,2010*,Shiraz,$20.89 in any six,$250.68 per case of 12,$21.99 per bottle,Margaret River,750mL,8.9 (2010),Western Australia,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 25 of 28 Shiraz from Margaret River,,
104,13.0% (2005),Domain Day,Screw Cap,Australia,2005*,Saperavi,$27.55 in any six,$165.30 per case of 6,$28.99 per bottle,Barossa Valley,750mL,7.7 (2005),South Australia,Saperavi,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
105,13.0% (2005),Domain Day,Screw Cap,Australia,2005*,Saperavi,$27.55 in any six,$165.30 per case of 6,$28.99 per bottle,Barossa Valley,750mL,7.7 (2005),South Australia,Saperavi,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
106,13.5% (2004),Chatto,Screw Cap,Australia,2004*,Hunter Valley Shiraz,$29.90 in any six,$358.80 per case of 12,$29.90 per bottle,Hunter Valley,750mL,8.0 (2004),New South Wales,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
107,13.5% (2004),Chatto,Screw Cap,Australia,2004*,Hunter Valley Shiraz,$29.90 in any six,$358.80 per case of 12,$29.90 per bottle,Hunter Valley,750mL,8.0 (2004),New South Wales,Shiraz,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
