,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Wine Body,Wine Style,Langtons Classified,Region,State,Vegan Friendly,Price Option 4,Price Option 5
27,13.50%,Woodlands,Screw Cap,Australia,,Nicolas Cabernet Sauvignon 2007,$214.99 per bottle,,,,750mL,8,Cabernet Sauvignon,Full Bodied,Dry,Outstanding,Margaret River,Western Australia,,,
28,14.5%,Bunkers,Screw Cap,Australia,,Bears Cabernet Merlot 2015,$119.95 per case of 6,,,,750mL,8.6,Cabernet Merlot,Medium Bodied,Dry,,Margaret River,Western Australia,,,
29,14.5,Rosabrook,Screw Cap,Australia,,Single Vineyard Margaret River Tempranillo 2013,$64.95 per bottle,$389.70 per case of 6,Ranked 45 of 47 Tempranillo from Australia,,750mL,8.6,Tempranillo,Full Bodied,Tempranillo,,Margaret River,,,,
30,13.0%,Romeo del Castello,,Australia,,Vigorosa Etna Rosato,$54.95 per bottle,$659.40 per case of 12,,,750ml,7.6,Nerello Mascalese,,,,,,,,
31,14,Devlins Mount,Screw Cap,Australia,2016,Shiraz,$8.00 per bottle,$48.00 per case of 6,,,750mL,8.4,Shiraz,Full Bodied,Dry,,,,,,
32,14.1%,Happs Estate,Screw Cap,Australia,,Cabernet Merlot 2016,$24.00 per bottle,$259.20 per case of 12,,,750ml,8.3,Cabernet Sauvignon and Merlot,Medium Bodied,Dry,,Margaret River,Western Australia,true,,
33,13.2,Barwite,Screw Cap,Australia,2015,Chardonnay 2015,$20.00 per bottle,$120.00 per case of 6,Ranked 168 of 194 Chardonnay from Victoria,,750mL,7.8,Chardonnay,,,,"Upper Goulburn Wine Region (High Country, Victoria",,,,
34,14.50%,Torbreck,Cork,Australia,,Descendant Shiraz Viognier 2006,$154.99 per bottle,,,,750mL,8.6,Shiraz Viognier,,Dry,,Barossa Valley,South Australia,,,
35,14.5,Artwine,Screw Cap,Australia,,Kelly Surrender Shiraz,$30.00 per bottle,$180.00 per case of 6,"Awards: 4 Stars (Silver) Winestate Magazine Shiraz Challenge 2017
4 Stars (Silver) Winestate Magazine Clare Valley Tasting 2017",,750ml,8.6,Shiraz,Medium Bodied,,,Clare Valley,,true,,
36,14.5,Nugan Estate,Screw Cap,Australia,2007,Matriarch Shiraz 2007,$66.50 in any six,$399.00 per case of 6,$69.99 per bottle,,750mL,8.6,Shiraz,Full Bodied,Dry,,McLaren Vale,South Australia,,,
