,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Size,Standard Drinks,Varietal,Region,State,Wine Style,Vegan Friendly,Wine Body,Price Option 4,Langtons Classified
10,12.5%,Trevor Jones,Screw Cap,Australia,,Trevor Jones 2016 Sauvignon Blanc,$82.50 per pack of 3,$150.00 per case of 6,,,750mL,8.9,Sauvignon Blanc,Adelaide Hills,South Australia,Dry,,,,
11,13.0,By Jingo!,Screw Cap,Australia,,Single Vineyard Grüner Veltliner,$29.95 per bottle,$179.70 per case of 6,,,750mL,7.7,Grüner Veltliner,,,Dry,,,,
12,13,Lisa McGuigan,Screw Cap,Australia,,Platinum Chardonnay 2016,$78.46 per pack of 2,$470.76 per case of 12,,,750mL,7.7,White Wine,,,,,,,
13,13.1,St Leonards Vineyard,Screw Cap,Australia,Screw Cap,Chardonnay,$28.00 per bottle,$167.95 per case of 6,Dry White,,750mL,8.2,Chardonnay,Rutherglen,Victoria,Chardonnay,,Light Bodied,,
14,12.2,Towerhill,Screw Cap,Australia,2014,Riesling 'Royale' 2014,$27.00 per bottle,$162.00 per case of 6,Ranked 18 of 35 Riesling from Great Southern,,750mL,7.2,Riesling,Western Australia,Western Australia,Riesling,,,,
15,12,Towerhill,Screw Cap,Australia,2013,Riesling 2013,$27.00 per bottle,$162.00 per case of 6,Ranked 14 of 37 Riesling from Great Southern,,750mL,7.1,Riesling,Western Australia,Western Australia,Dry,,,,
16,14.2,Snobs Creek,Screw Cap,Australia,Screw Cap,Park Lane Pinot Grigio 2018,$14.99 per bottle,$179.88 per case of 12,Dry White,,750mL,8.4,Sauvignon Blanc,Adelaide Hills,Victoria,Sauvignon Blanc,,Light Bodied,,
17,13.5%,Berton Vineyards,Screw Cap,Australia,,Eden Valley White Rock Chardonnay 2017,$23.99 per bottle,$128.00 per case of 6,"Awards: CWSA GOLD 2018
Decanter World Wines SILVER 2018 
IWSC SILVER 2018",,750mL,8.0,Chardonnay,Eden Valley,South Australia,,,,,
18,12.5%,Jimmy Wines,Screw Cap,Australia,,Chardonnay 2015,$16.99 per bottle,$183.50 per case of 12,,,750mL,7.7,Chardonnay,Victoria,Victoria,,,Medium Bodied,,
19,,,,,,Unknown,,,,,,,,,,,,,,
20,10.5%,Toorak,Screw Cap,Australia,,Sauvignon Blanc & Semillon,$8.85 per bottle,$106.19 per case of 12,,,750mL,5.92,Semillon Sauvignon Blanc,Riverina,New South Wales,,,,,
21,12,Kellermeister,Screw Cap,Australia,2013,Barossa Vineyards Sauvignon Blanc Semillon,$25.00 per bottle,$150.00 per case of 6,,,750mL,7.1,Sauvignon Blanc Semi,Barossa Valley,,,,,,
22,12.0%,Michelini Wines,Screw Cap,Australia,,Sauvignon Blanc,$20.00 per bottle,$240.00 per case of 12,,,750mL,7.1,Sauvignon Blanc,Alpine Valleys,Victoria,Semi Dry,,Medium Bodied,,
23,12.5,Devils Creek,Screw Cap,Australia,,Devils Creek Field Blend,$12.00 per bottle,$144.00 per case of 12,,,750mL,7.4,"Chardonnay, Pinot Grigio & Sauvignon Blanc",Alpine Valleys,Victoria,Semi Sweet,,,,
24,12.5,Michelini Wines,Screw Cap,Australia,,Vermentino,$25.00 per bottle,$300.00 per case of 12,"Awards: Alternative Varieties Wine Show 2017 Gold medal. Sydney International Wine Competition Blue Gold medal
Dookie Wine Show",,750ml,7.4,Vermentino,Alpine Valleys,Victoria,Dry,,Medium Bodied,,
25,11.5,Trentham Estate,Screw Cap,Australia,,Noble Taminga 375mL,$14.99 per bottle,$179.88 per case of 12,,,375mL,5.8,Taminga,Murray Darling,,,,,,
26,12.2,Ferngrove,Screw Cap,Australia,2017,Black Label Dry Riesling 2017,$20.00 per bottle,$120.00 per case of 6,Ranked 28 of 35 Riesling from Great Southern,,750ml,7.1,Riesling,"Frankland River, Western Aualia",,,,,,
27,12.5%,Ferngrove,Screw Cap,Australia,2018,Cossack Riesling 2018,$25.00 per bottle,$150.00 per case of 6,,,750mL,7.4,Riesling,Frankland River,Western Australia,Extra Dry,,Light Bodied,,
28,12.5\t,Em's Table,Screw Cap,Australia,,Premium Organic Riesling 2016,$17.99 per bottle,$101.94 per case of 6,"Awards: Winestate 2017 The Annual Edition: Best of South Australia - 5 stars, Winestate 2017 The Annual Edit",,750mL,7.4,Riesling,"Clare Valley, SA",,,,,,
29,12.0,A.Retief,Screw Cap,Australia,Screw Cap,Tumbarumba Chardonnay 2012,$420.00 per case of 12,Dry White,Ranked 33 of 71 Chardonnay from New South Wales,,750mL,7.1,Chardonnay,Tumbarumba,WNE,Dry,,,,
30,10.8,Stormy Creek,Screw Cap,Australia,,Botrytis Semillon 2009,$19.95 per bottle,$35.00 per case of 2,,,375mL,3.2,Semillon,,,,,,,
31,12.5%,Davally Estate Wines,Screw Cap,Australia,,Unwooded Chardonnay,$29.00 per bottle,$174.00 per case of 6,Awards: 2017 Australian Cool Climate Wine Show,,750ml,7.4,Ch,Sydney,New South Wales,Dry,,Light Bodied,,
32,11.5%,The Blackwood,Screw Cap,Australia,2017,Western Australia Small Batch Vermentino 2017,$25.80 per bottle,$132.00 per case of 6,"Awards: Trophy - Perth Royal Wine Awards - Best Dry White Varietal at Show
Bronze - National Cool Climate Wine Show 2017",,750ml,6.8,Vermentino,,Western Australia,,,,,
33,12.1%,Stockman's Ridge Wine,Screw Cap,Australia,,Outlaw Chardonnay 2016,$40.00 per bottle,$480.00 per case of 12,"Awards: Trophy Best Chardonnay 2018 - Australian Highland Wine Show,
Trophy Best Chardonnay 2018 - National Cool Climate Wine Show,
Gold medal 2018 - Orange Wine Show,
Gold medal - National Cool Climate Wine Show,
Top Gold 2018 - Rutherglen Wine Show,
Silver medal 2018 - International Cool Climate Wine Show,
Silver medal 2018 - Small Winemakers Wine Show,
Silver medal 2018 - James Halliday Chardonnay Challenge,
Bronze medal 2018 - National Wine Show, Bronze medal 2018 - NSW Small Wine Makers Wine Show, Bronze medal 2018 - Melbourne International Wine Competition",,750mL,7.2,chardonnay,Orange,New South Wales,Dry,,Medium Bodied,,
34,12.8%,Oakdene Wines,Screw Cap,Australia,,Single Vineyard Jessica Sauvignon 2017,$151.20 per pack of 6,$302.40 per case of 12,Awards: 95 Points James Halliday Wine Companion 2019,,750mL,7.6,Sauvignon Blanc,Geelong,Victoria,Dry,true,Light Bodied,,
35,5.5,Pete's Pure,Screw Cap,Australia,,Moscato,$14.99 per bottle,$179.88 per case of 12,,,750mL,3.3,Moscato,Murray Darling,New South Wales,Semi Sweet,true,Light Bodied,,
36,12.5%,Merindoc,Cork,Australia,,Sparkling Chardonnay Pinot Noir NV,$39.00 per bottle,$234.00 per case of 6,,,750mL,7.4,Chardonnay Pinot Noir,Macedon Ranges,Victoria,Dry,,,,
37,22%,Verochka,,Australia,,Premium Blend 22%,$10.00 per bottle,$120.00 per case of 12,,,750mL,13,Liqueur,,South Australia,,,,,
38,13.0% (2015),Penley Estate,Screw Cap,Australia,2015*,Aradia Chardonnay,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.7 (2015),Chardonnay,Coonawarra,South Australia,Dry,,,,
39,13.5,Gapsted Wines,Screw Cap,Australia,,Limited Release Fiano,$23.99 per bottle,$125.00 per case of 6,,,750mL,8.0,Fiano,King Valley,Victoria,White Varietals,,Full Bodied,,
40,12.5%,Chalmers,Screw Cap,Australia,2012,Vermentino,$26.99 per bottle,$323.88 per case of 12,Dry White,,750mL,7.4,Vermentino,Heathcote,Victoria,Dry,true,,,
41,13,Epic Negociants,Screw Cap,Australia,2018,Karri Loam Pinot Gris 2018,$25.00 per bottle,$150.00 per case of 6,,,750ml,7.7,Pinot Gris,Pemberton,Western Australia,Dry,,,,
42,Various,Rosabrook,Screw Cap,Australia,,Single Vineyard Estate Mixed 6 Pack,$269.95 per pack of 6,,,,750mL,6-8,Various,Margaret River,Western Australia,,,,,
43,12.5%,Killerby,Screw Cap,Australia,,Killerby Foundations Chardonnay 2017,$30.00 per bottle,$180.00 per case of 6,,,750ml,7.4,Chardonnay,Margaret River,Western Australia,Dry,,Medium Bodied,,
44,12.5,Lenton Brae,Screw Cap,Australia,,Semillon Sauvignon Blanc 2018,$23.00 per bottle,$138.00 per case of 6,Ranked 14 of 18 Sémillon from Margaret River,,750mL,7.4,Semillon Sauvignon B,Margaret River,Western Australia,,,,,
45,12.5,Dreaming Dog,Screw Cap,Australia,,Dreaming Dog Semillon Sauvignon Blanc 2017,$15.00 per bottle,$108.00 per case of 12,,,750ml,7.4,Semillon Sauvignon B,Margaret River,,,,,,
46,13.5,Helen & Joey Estate,Screw Cap,Australia,2016,Layla Chardonnay 2016,$30.00 per bottle,$180.00 per case of 6,,,750mL,8,Chardonnay,Yarra Valley,,,,,,
47,13,Chapman Grove,Screw Cap,Australia,,Semillon Reserve Margaret River 2016,$29.99 per bottle,$287.90 per case of 12,,,750mL,7.7,Semillon,Margaret River,,,,,,
48,12.0% (2014),Briar Ridge,Screw Cap,Australia,2014*,Stockhausen Semillon,$31.40 in any six,$376.80 per case of 12,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,7.1 (2014),Semillon,Hunter Valley,New South Wales,Dry,,,Ranked 7 of 65 Sémillon from Lower Hunter,
49,12.5%,Laventura,,Australia,,Malvasia,$54.95 per bottle,$659.40 per case of 12,,,750mL,7.3,Malvasia,,,,,,,
50,12.5%,Killerby,Screw Cap,Australia,,Killerby Foundations Chardonnay 2017,$30.00 per bottle,$180.00 per case of 6,,,750ml,7.4,Chardonnay,Margaret River,Western Australia,Dry,,Medium Bodied,,
