,Alcohol Volume,Brand Name,Country,Name,Price Option 0,Price Option 1,Size,Standard Drinks,State,Varietal,Closure,Current Vintage,Langtons Classified,Region,Wine Body,Wine Style,Price Option 2,Vegan Friendly,Price Option 3,Price Option 4,Organic,Price Option 5
42,14.000000000000002%,Finca Bacara,Australia,Time Waits for No One Monastrell,$29.95 per bottle,$179.70 per case of 6,750mL,8.2,,Monastrell/Mouvredre,,,,,,,,,,,,
43,13.0%,Sicus,Australia,Garrut Amphora Monastrell,$59.95 per bottle,$359.70 per case of 12,750mL,7.6,,Monastrell/Mourvedre,,,,,,,,,,,,
44,14,Fridays Child,Australia,Shiraz 2015,$27.00 per bottle,$162.00 per case of 6,750mL,8.3,,Shiraz,Screw Cap,2015,,"Upper Goulburn Wine Region (High Country, Victoria",,,Ranked 29 of 36 Shiraz from Central Victoria,,,,,
45,13.0%,Sicus,Australia,Garrut Amphora Monastrell,$59.95 per bottle,$359.70 per case of 12,750mL,7.6,,Monastrell/Mourvedre,,,,,,,,,,,,
46,14,Whistle Post,Australia,Cabernet Sauvignon 2015,$19.99 per bottle,$119.94 per case in 6,750mL,8.3,,Cabernet Sauvignon,Screw Cap,,,Coonawarra,,,,,,,,
47,14%,Credaro,Australia,Five Tales Cabernet Merlot 2016,$19.00 in any six,$228.00 per case of 12,750mL,8.3,Western Australia,Cabernet Merlot,Screw Cap,2016,,Margaret River,,,$19.99 per bottle,,,,,
48,14,Whistle Post,Australia,Cabernet Sauvignon 2015,$19.99 per bottle,$119.94 per case in 6,750mL,8.3,,Cabernet Sauvignon,Screw Cap,,,Coonawarra,,,,,,,,
49,13.5% (2013),Plantagenet,Australia,Shiraz,$40.90 in any six,$245.40 per case of 6,750mL,8 (2013),Western Australia,Shiraz,Screw Cap,2013*,,Great Southern,Full Bodied,Dry,$42.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 4 of 25 Shiraz from Great Southern,,
50,14.5%,Adina Vineyard,Australia,James Peter Cabernets 2016,$36.00 per bottle,$216.00 per case of 6,750mL,8.6,New South Wales,"Cabernet Sauvignon, Cabernet Franc, Shiraz",Screw Cap,,,Hunter Valley,Full Bodied,Dry,,,,,,
51,15.5% (2013),Kaesler,Australia,Old Bastard Shiraz 2013,$190.00 in any six,"$1,128.00 per case of 6",750mL,9.2 (2013),South Australia,Shiraz,Cork,2013*,,,Full Bodied,Dry,$200.00 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
52,13.5%,Bovio,Australia,Langhe Nebbiolo,$45.95 per bottle,$551.40 per case of 6,750mL,7.9,,Nebbiolo,,,,,,,,,,,,
53,13.0%,Quealy,Australia,Seventeen Rows Pinot Noir,$66.50 in any six,$399.00 per case of 6,750mL,7.7,Victoria,Pinot Noir,Screw Cap,2015*,,Mornington Peninsula,Light Bodied,Dry,$69.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 37 of 102 Pinot Noir from Mornington Peninsula,,
54,14.5% (2015),Maker's Medal,Australia,Shared Philosophy Shiraz,$38.00 in any six,$228.00 per case of 6,750mL,8.6 (2015),Victoria,Shiraz,Screw Cap,2015*,,Heathcote,Full Bodied,Dry,$39.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
55,14.5% (2014),Spinifex,Australia,Bete Noir Shiraz,$45.60 in any six,$547.20 per case of 6,750mL,8.6 (2014),South Australia,Shiraz,Screw Cap,2014*,,Barossa Valley,Full Bodied,Dry,$47.99 per bottle,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 46 of 117 Shiraz from Barossa Valley,,
